amenity-bank
amenity-bar
amenity-bicycle_parking
amenity-bus_station
amenity-cafe
amenity-cinema
amenity-college
amenity-community_centre
amenity-fast_food
amenity-ferry_terminal
amenity-fountain
amenity-fuel
amenity-hospital
amenity-kindergarten
amenity-library
amenity-marketplace
amenity-parking
amenity-pharmacy
amenity-place_of_worship
amenity-police
amenity-post_office
amenity-restaurant
amenity-school
amenity-shelter
amenity-taxi
amenity-theatre
amenity-toilets
amenity-townhall
amenity-university
barrier-city_wall
barrier-fence
barrier-hedge
barrier-retaining_wall
barrier-toll_booth
barrier-wall
building-apartments
building-commercial
building-dormitory
building-greenhouse
building-hospital
building-industrial
building-office
building-residential
building-retail
building-roof
building-school
building-train_station
building-university
electrified-contact_line
highway-bus_stop
highway-crossing
highway-cycleway
highway-footway
highway-give_way
highway-living_street
highway-mini_roundabout
highway-motorway
highway-motorway_junction
highway-motorway_link
highway-path
highway-pedestrian
highway-primary
highway-primary_link
highway-residential
highway-road
highway-secondary
highway-secondary_link
highway-service
highway-services
highway-steps
highway-tertiary
highway-tertiary_link
highway-track
highway-trunk
highway-trunk_link
highway-turning_circle
highway-unclassified
historic-memorial
historic-monument
junction-roundabout
landuse-basin
landuse-brownfield
landuse-commercial
landuse-farm
landuse-forest
landuse-grass
landuse-industrial
landuse-meadow
landuse-quarry
landuse-railway
landuse-reservoir
landuse-residential
landuse-retail
leisure-garden
leisure-park
leisure-pitch
leisure-stadium
leisure-swimming_pool
leisure-track
man_made-chimney
man_made-pier
man_made-pipeline
man_made-storage_tank
man_made-tower
natural-bay
natural-beach
natural-cliff
natural-coastline
natural-glacier
natural-grassland
natural-peak
natural-ridge
natural-scrub
natural-tree
natural-water
natural-wetland
natural-wood
place-village
power-generator
railway-light_rail
railway-platform
railway-rail
railway-station
railway-tram
service-alley
service-yard
sport-basketball
sport-tennis
surface-asphalt
surface-compacted
surface-concrete
surface-gravel
surface-paved
surface-unpaved
tourism-hostel
tourism-hotel
water-lake
water-pond
water-reservoir
waterway-ditch
waterway-drain
waterway-riverbank
waterway-stream
waterway-weir
